rainfall data copyright Foley Matthews 2017,,,
each row below represents a rain event of 0.2mm,,,
min,hour,day,month
28,7,4,5
28,7,4,5
33,7,4,5
33,7,4,5
14,11,6,5
14,11,6,5
44,12,7,5
44,12,7,5
32,11,8,5
45,11,8,5
51,13,8,5
45,15,8,5
47,15,8,5
48,15,8,5
49,15,8,5
50,15,8,5
50,15,8,5
51,15,8,5
52,15,8,5
54,15,8,5
55,15,8,5
55,15,8,5
56,15,8,5
57,15,8,5
2,16,8,5
9,16,8,5
12,16,8,5
15,16,8,5
17,16,8,5
19,16,8,5
22,16,8,5
27,16,8,5
38,16,8,5
7,18,8,5
58,19,8,5
32,20,8,5
41,20,8,5
44,20,8,5
46,20,8,5
49,20,8,5
51,20,8,5
6,21,8,5
22,21,8,5
25,21,8,5
29,21,8,5
34,21,8,5
36,21,8,5
38,21,8,5
39,21,8,5
40,21,8,5
42,21,8,5
43,21,8,5
45,21,8,5
45,21,8,5
47,21,8,5
48,21,8,5
50,21,8,5
53,21,8,5
55,21,8,5
58,21,8,5
1,22,8,5
3,22,8,5
9,22,8,5
2,23,8,5
22,23,8,5
34,23,8,5
5,0,9,5
13,0,9,5
14,0,9,5
15,0,9,5
15,0,9,5
17,0,9,5
19,0,9,5
21,0,9,5
23,0,9,5
26,0,9,5
30,0,9,5
43,0,9,5
0,13,9,5
20,14,10,5
46,10,13,5
46,10,13,5
50,12,13,5
51,12,13,5
53,12,13,5
54,12,13,5
55,12,13,5
56,12,13,5
59,12,13,5
29,13,13,5
2,15,13,5
36,15,13,5
39,15,13,5
44,15,13,5
8,4,14,5
35,4,14,5
16,17,14,5
56,1,15,5
7,9,17,5
7,9,17,5
13,0,19,5
14,0,19,5
17,0,19,5
28,0,19,5
36,0,19,5
49,0,19,5
24,1,19,5
26,1,19,5
28,1,19,5
29,1,19,5
31,1,19,5
32,1,19,5
34,1,19,5
38,1,19,5
40,1,19,5
42,1,19,5
44,1,19,5
48,1,19,5
55,1,19,5
3,2,19,5
10,2,19,5
17,2,19,5
21,2,19,5
23,2,19,5
25,2,19,5
26,2,19,5
29,2,19,5
32,2,19,5
37,2,19,5
48,2,19,5
8,3,19,5
27,3,19,5
32,3,19,5
38,3,19,5
46,3,19,5
6,5,19,5
46,5,19,5
49,5,19,5
53,5,19,5
1,6,19,5
5,6,19,5
16,6,19,5
8,7,19,5
3,12,19,5
13,12,19,5
17,12,19,5
21,12,19,5
24,12,19,5
29,12,19,5
38,12,19,5
44,12,19,5
57,12,19,5
12,15,19,5
19,15,19,5
25,15,19,5
30,15,19,5
35,15,19,5
41,15,19,5
49,15,19,5
4,16,19,5
13,16,19,5
23,16,19,5
32,16,19,5
38,16,19,5
44,16,19,5
9,17,19,5
20,18,19,5
36,19,19,5
0,21,19,5
21,21,19,5
29,21,19,5
43,21,19,5
32,22,19,5
30,23,19,5
5,0,20,5
28,9,20,5
28,9,20,5
33,9,20,5
33,9,20,5
44,9,20,5
44,9,20,5
19,13,20,5
19,13,20,5
48,15,20,5
48,15,20,5
5,20,20,5
5,20,20,5
59,23,20,5
59,1,22,5
27,4,23,5
3,23,23,5
3,23,23,5
34,2,25,5
40,10,27,5
40,10,27,5
1,2,28,5
47,16,28,5
47,16,28,5
48,18,28,5
55,18,28,5
34,2,29,5
30,12,31,5
30,12,31,5
46,18,31,5
46,18,31,5
