rainfall data copyright Foley Matthews 2022,,,
each row below represents a rain event of 0.2mm,,,
min,hour,day,month
26,3,1,9
30,10,2,9
12,11,2,9
30,11,2,9
57,12,2,9
7,13,2,9
19,18,2,9
42,18,2,9
59,18,2,9
20,19,2,9
24,19,2,9
29,19,2,9
35,19,2,9
28,20,2,9
50,20,2,9
8,21,2,9
18,21,2,9
32,21,2,9
37,21,2,9
42,21,2,9
47,21,2,9
51,21,2,9
53,21,2,9
1,22,2,9
10,22,2,9
15,22,2,9
16,22,2,9
18,22,2,9
23,22,2,9
29,22,2,9
35,22,2,9
41,22,2,9
47,22,2,9
51,22,2,9
55,22,2,9
2,23,2,9
22,23,2,9
44,0,3,9
22,1,3,9
32,2,3,9
42,2,3,9
50,2,3,9
57,2,3,9
8,3,3,9
30,3,3,9
34,3,3,9
39,3,3,9
43,3,3,9
46,3,3,9
50,3,3,9
1,4,3,9
22,4,3,9
51,5,3,9
30,7,3,9
58,7,3,9
4,8,3,9
7,8,3,9
10,8,3,9
12,8,3,9
16,8,3,9
20,8,3,9
21,8,3,9
23,8,3,9
25,8,3,9
33,8,3,9
55,8,3,9
6,9,3,9
10,9,3,9
11,9,3,9
12,9,3,9
13,9,3,9
14,9,3,9
15,9,3,9
17,9,3,9
18,9,3,9
21,9,3,9
24,9,3,9
30,9,3,9
40,9,3,9
45,9,3,9
48,9,3,9
56,9,3,9
0,10,3,9
4,10,3,9
11,10,3,9
14,10,3,9
18,10,3,9
22,10,3,9
37,10,3,9
39,12,3,9
16,20,8,9
55,20,8,9
3,21,8,9
13,21,8,9
17,21,8,9
41,21,8,9
51,21,8,9
56,21,8,9
25,22,8,9
41,4,9,9
6,7,9,9
8,7,9,9
9,7,9,9
10,7,9,9
11,7,9,9
12,7,9,9
12,7,9,9
13,7,9,9
14,7,9,9
16,7,9,9
17,7,9,9
19,7,9,9
20,7,9,9
22,7,9,9
24,7,9,9
26,7,9,9
29,7,9,9
32,7,9,9
36,7,9,9
42,7,9,9
47,7,9,9
53,7,9,9
1,8,9,9
50,8,9,9
4,9,9,9
39,9,9,9
33,14,9,9
37,4,16,9
51,4,16,9
52,4,16,9
53,4,16,9
55,4,16,9
56,4,16,9
3,5,16,9
11,5,16,9
13,5,16,9
15,5,16,9
16,5,16,9
17,5,16,9
18,5,16,9
18,5,16,9
19,5,16,9
20,5,16,9
21,5,16,9
22,5,16,9
30,5,16,9
23,6,16,9
26,6,16,9
6,7,16,9
8,7,16,9
10,7,16,9
11,7,16,9
12,7,16,9
13,7,16,9
15,7,16,9
17,7,16,9
20,7,16,9
22,7,16,9
24,7,16,9
25,7,16,9
27,7,16,9
29,7,16,9
33,7,16,9
41,7,16,9
52,7,16,9
54,14,21,9
15,15,21,9
29,15,21,9
38,15,21,9
44,15,21,9
54,15,21,9
11,16,21,9
24,16,21,9
20,19,21,9
25,19,21,9
28,19,21,9
30,19,21,9
32,19,21,9
34,19,21,9
36,19,21,9
38,19,21,9
43,19,21,9
47,19,21,9
51,19,21,9
57,19,21,9
11,20,21,9
14,20,21,9
18,20,21,9
26,20,21,9
33,20,21,9
40,20,21,9
44,20,21,9
50,20,21,9
4,21,21,9
8,21,21,9
12,21,21,9
16,21,21,9
21,21,21,9
24,21,21,9
27,21,21,9
53,21,21,9
36,23,21,9
46,23,21,9
38,1,22,9
56,4,22,9
10,5,22,9
32,5,22,9
1,6,22,9
16,6,22,9
52,6,22,9
2,7,22,9
11,7,22,9
19,7,22,9
27,7,22,9
35,7,22,9
39,7,22,9
47,7,22,9
52,7,22,9
58,7,22,9
1,8,22,9
3,8,22,9
6,8,22,9
22,8,22,9
27,8,22,9
31,8,22,9
36,8,22,9
39,8,22,9
42,8,22,9
46,8,22,9
48,8,22,9
50,8,22,9
53,8,22,9
56,8,22,9
59,8,22,9
1,9,22,9
5,9,22,9
10,9,22,9
34,9,22,9
10,10,22,9
16,17,22,9
12,22,22,9
13,22,22,9
13,22,22,9
14,22,22,9
14,22,22,9
15,22,22,9
15,22,22,9
16,22,22,9
16,22,22,9
16,22,22,9
17,22,22,9
17,22,22,9
17,22,22,9
17,22,22,9
17,22,22,9
18,22,22,9
18,22,22,9
18,22,22,9
18,22,22,9
19,22,22,9
19,22,22,9
19,22,22,9
19,22,22,9
19,22,22,9
20,22,22,9
20,22,22,9
20,22,22,9
20,22,22,9
20,22,22,9
21,22,22,9
21,22,22,9
21,22,22,9
21,22,22,9
21,22,22,9
22,22,22,9
22,22,22,9
22,22,22,9
22,22,22,9
22,22,22,9
23,22,22,9
23,22,22,9
23,22,22,9
23,22,22,9
23,22,22,9
24,22,22,9
24,22,22,9
24,22,22,9
24,22,22,9
25,22,22,9
25,22,22,9
25,22,22,9
26,22,22,9
26,22,22,9
26,22,22,9
26,22,22,9
27,22,22,9
27,22,22,9
28,22,22,9
28,22,22,9
28,22,22,9
29,22,22,9
29,22,22,9
29,22,22,9
30,22,22,9
30,22,22,9
